Employee_ID,Department,Gender,Age,Education_Level,Job_Role,Monthly_Income,Years_At_Company,Years_In_Current_Role,Job_Satisfaction,Performance_Rating,Work_Life_Balance,Training_Hours_Last_Year,Last_Promotion_Years_Ago,Distance_From_Home,Overtime,Attrition,Marital_Status,Number_Of_Companies_Worked,Stock_Option_Level
1001,Sales,Female,28,Bachelor's Degree,Analyst,3822,23,0,3,2,1,24,3,29,Yes,No,Married,7,2
1002,Marketing,Female,36,Master's Degree,Manager,10125,31,11,1,1,5,61,1,14,No,Yes,Divorced,8,0
1003,Finance,Non-binary,28,PhD,Analyst,3256,33,12,3,5,1,83,11,2,Yes,Yes,Divorced,7,3
1004,Marketing,Male,18,High School,Intern,1279,0,0,3,3,4,0,0,48,Yes,No,Single,1,0
1005,Marketing,Non-binary,55,Bachelor's Degree,Team Lead,8221,1,4,1,3,3,1,7,22,Yes,No,Divorced,9,3
1006,IT,Non-binary,22,Associate's Degree,Intern,1012,0,0,5,1,3,0,0,47,No,Yes,Single,1,0
1007,Finance,Female,43,Bachelor's Degree,Manager,10853,22,3,5,1,4,98,10,6,No,Yes,Married,5,0
1008,Finance,Male,20,PhD,Intern,1351,0,0,2,1,3,0,0,9,Yes,Yes,Single,1,0
1009,Finance,other,58,High School,Team Lead,7147,11,18,5,1,5,16,13,12,No,Yes,Widowed,4,1
1010,Marketing,Female,22,Bachelor's Degree,Analyst,2195,16,10,4,4,5,62,9,42,No,No,Divorced,6,0
1011,Sales,other,31,PhD,Executive,3874,17,7,4,3,2,21,5,39,No,Yes,Divorced,4,1
1012,Finance,other,59,Associate's Degree,Analyst,2201,13,11,2,2,5,0,12,5,Yes,Yes,Widowed,5,0
1013,Marketing,Male,37,Master's Degree,Team Lead,6302,16,17,3,3,3,93,3,40,Yes,Yes,Married,6,2
1014,IT,Non-binary,29,Associate's Degree,Team Lead,8075,14,17,2,3,1,69,1,44,No,Yes,Divorced,1,1
1015,Sales,Male,46,High School,Manager,10376,11,8,1,3,2,53,4,1,No,No,Divorced,6,3
1016,IT,other,20,Associate's Degree,Intern,1025,0,0,2,1,1,0,0,10,Yes,Yes,Single,1,0
1017,Sales,Female,24,Associate's Degree,Intern,1039,0,0,2,1,3,0,0,11,Yes,No,Single,1,0
1018,Marketing,other,38,Associate's Degree,Analyst,4156,22,12,4,4,1,96,6,27,No,Yes,Divorced,7,3
1019,HR,Female,47,Associate's Degree,Executive,2542,37,5,1,3,3,52,8,23,Yes,Yes,Divorced,5,1
1020,Sales,Female,35,High School,Executive,3761,33,13,1,5,5,5,2,20,No,Yes,Single,8,2
1021,IT,Male,59,PhD,Manager,9366,33,14,2,4,2,89,5,5,Yes,No,Divorced,5,3
1022,Marketing,other,57,Bachelor's Degree,Team Lead,6700,15,13,1,1,4,63,8,13,Yes,No,Single,5,2
1023,Sales,Non-binary,44,Master's Degree,Manager,11816,33,3,1,3,3,87,10,10,Yes,Yes,Married,2,1
1024,HR,other,20,Bachelor's Degree,Intern,1281,0,0,5,1,5,0,0,49,Yes,No,Single,1,0
1025,HR,other,27,Bachelor's Degree,Team Lead,6024,6,0,1,2,1,71,5,36,No,No,Single,4,0
1026,Finance,Non-binary,26,Master's Degree,Manager,8068,32,11,3,1,5,43,13,41,Yes,Yes,Divorced,8,0
1027,Finance,Male,59,High School,Analyst,2040,3,8,1,1,1,33,14,16,Yes,No,Divorced,3,2
1028,IT,other,20,Master's Degree,Intern,1483,0,0,4,4,1,0,0,7,Yes,No,Single,1,0
1029,Sales,other,39,High School,Executive,3087,17,17,5,2,1,23,8,32,Yes,No,Divorced,7,1
1030,Sales,Female,34,Bachelor's Degree,Manager,9409,3,16,4,5,1,1,6,25,Yes,No,Divorced,9,1
1031,Finance,other,23,High School,Intern,1428,0,0,4,5,2,0,0,44,No,No,Single,1,0
1032,Sales,Non-binary,19,PhD,Intern,1285,0,0,3,5,1,0,0,26,No,Yes,Single,1,0
1033,Sales,Female,49,Master's Degree,Executive,2889,10,15,5,3,2,93,5,36,Yes,Yes,Divorced,2,3
1034,HR,Male,39,PhD,Executive,2681,14,6,2,5,4,31,10,28,No,Yes,Single,1,2
1035,Finance,Female,49,Bachelor's Degree,Executive,4859,16,8,1,3,2,55,10,44,Yes,No,Widowed,6,2
1036,Marketing,Non-binary,48,Master's Degree,Manager,11102,33,7,3,1,1,93,7,12,No,Yes,Widowed,8,1
1037,Finance,Non-binary,53,Bachelor's Degree,Executive,4462,11,6,3,5,4,6,14,26,Yes,No,Married,1,1
1038,Marketing,Female,30,PhD,Analyst,4037,27,9,2,4,5,47,5,4,Yes,Yes,Married,1,2
1039,HR,Male,21,Bachelor's Degree,Intern,1063,0,0,3,2,2,0,0,44,No,No,Single,1,0
1040,IT,Female,53,Master's Degree,Executive,4419,7,16,2,2,5,53,3,23,Yes,No,Single,5,2
1041,Sales,Male,22,Master's Degree,Intern,1110,0,0,2,1,4,0,0,40,Yes,No,Single,1,0
1042,HR,Female,49,Bachelor's Degree,Team Lead,7422,21,13,2,2,2,72,13,24,Yes,Yes,Single,4,1
1043,Sales,Non-binary,54,Master's Degree,Team Lead,5645,23,11,3,2,1,79,9,31,Yes,No,Widowed,1,3
1044,IT,other,25,Master's Degree,Executive,3674,1,1,2,1,2,1,7,30,Yes,Yes,Widowed,1,2
1045,IT,other,19,Bachelor's Degree,Intern,1328,0,0,3,1,1,0,0,3,No,No,Single,1,0
1046,HR,Male,24,PhD,Team Lead,6991,21,13,5,1,3,97,5,16,No,No,Married,5,1
1047,IT,Male,47,Master's Degree,Executive,4851,0,6,2,4,2,21,1,34,No,Yes,Widowed,5,1
1048,Marketing,Male,24,Master's Degree,Intern,1087,0,0,3,1,2,0,0,38,No,Yes,Single,1,0
1049,IT,Non-binary,27,Master's Degree,Executive,2363,24,3,3,1,5,63,3,28,Yes,No,Single,9,2
1050,Sales,Female,21,Master's Degree,Intern,1123,0,0,3,1,5,0,0,49,Yes,No,Single,1,0
1051,Sales,Non-binary,45,Bachelor's Degree,Team Lead,8196,35,16,1,5,4,48,7,44,No,No,Single,8,2
1052,Sales,other,59,PhD,Executive,3259,2,2,1,5,1,51,4,41,Yes,Yes,Divorced,9,3
1053,Sales,Male,51,PhD,Team Lead,8372,4,16,2,4,5,20,3,48,No,No,Married,8,3
1054,Marketing,Female,34,High School,Executive,4518,0,7,5,4,4,11,7,7,Yes,No,Divorced,8,3
1055,Finance,other,26,Master's Degree,Manager,11055,18,2,2,2,1,10,12,8,Yes,No,Married,8,0
1056,HR,other,46,Master's Degree,Team Lead,6646,32,9,4,5,1,53,2,7,No,No,Widowed,8,2
1057,Sales,other,41,High School,Team Lead,8141,29,1,4,4,1,82,1,37,No,Yes,Divorced,5,3
1058,IT,Non-binary,39,PhD,Analyst,3895,11,3,5,4,3,69,3,7,No,Yes,Married,3,1
1059,Sales,Male,39,Associate's Degree,Team Lead,9319,9,13,5,2,1,13,10,18,No,Yes,Divorced,4,3
1060,IT,other,20,Associate's Degree,Intern,1421,0,0,5,1,4,0,0,48,No,Yes,Single,1,0
1061,IT,Male,31,PhD,Executive,2499,15,13,1,3,1,76,0,39,No,No,Single,7,2
1062,Sales,Non-binary,33,Master's Degree,Manager,10260,39,12,1,2,1,25,4,21,No,No,Divorced,9,1
1063,Marketing,other,18,Associate's Degree,Intern,1145,0,0,4,3,4,0,0,34,Yes,Yes,Single,1,0
1064,IT,Non-binary,20,Bachelor's Degree,Intern,1392,0,0,5,2,2,0,0,49,No,No,Single,1,0
1065,IT,Non-binary,21,Bachelor's Degree,Intern,1213,0,0,3,2,1,0,0,27,No,No,Single,1,0
1066,Sales,Male,21,High School,Intern,1439,0,0,4,1,4,0,0,8,No,No,Single,1,0
1067,IT,other,59,PhD,Manager,9502,35,4,5,4,5,45,3,34,Yes,Yes,Widowed,4,0
1068,IT,Non-binary,47,PhD,Analyst,4470,29,8,3,5,4,54,7,18,Yes,Yes,Single,6,0
1069,Sales,other,35,Associate's Degree,Team Lead,5842,34,19,5,2,3,93,13,41,Yes,Yes,Widowed,1,0
1070,Sales,Male,18,Master's Degree,Intern,1127,0,0,2,1,5,0,0,12,No,No,Single,1,0
1071,HR,Non-binary,59,PhD,Team Lead,8414,17,11,3,3,2,73,1,22,Yes,No,Single,7,2
1072,Marketing,Male,22,Associate's Degree,Team Lead,8428,18,17,2,4,2,91,14,40,No,No,Married,6,3
1073,Marketing,other,23,Associate's Degree,Intern,1293,0,0,1,2,4,0,0,22,No,Yes,Single,1,0
1074,IT,other,43,PhD,Analyst,2578,3,4,4,3,4,77,2,8,Yes,Yes,Single,7,3
1075,Marketing,Male,44,Associate's Degree,Team Lead,8510,5,19,5,2,1,11,13,42,No,Yes,Widowed,2,2
1076,IT,Female,40,High School,Executive,3211,32,13,4,5,1,53,12,28,Yes,Yes,Widowed,4,2
1077,HR,Non-binary,39,High School,Team Lead,7303,31,15,5,5,3,63,2,47,Yes,No,Widowed,5,2
1078,Sales,other,19,PhD,Intern,1148,0,0,2,4,1,0,0,32,Yes,No,Single,1,0
1079,Sales,other,49,Master's Degree,Manager,11637,10,8,3,3,4,36,12,11,Yes,Yes,Married,6,1
1080,Sales,Non-binary,49,High School,Team Lead,6505,21,16,3,5,4,73,14,21,No,Yes,Divorced,6,0
1081,Marketing,Male,54,High School,Analyst,4450,35,6,5,1,1,40,13,26,Yes,No,Divorced,5,2
1082,HR,Male,40,PhD,Executive,4541,22,9,2,4,3,26,10,14,Yes,No,Single,5,1
1083,Marketing,Male,49,Bachelor's Degree,Executive,3746,25,3,5,2,4,41,2,15,No,Yes,Divorced,1,2
1084,Marketing,Female,58,Associate's Degree,Manager,7368,30,9,5,3,3,75,7,14,No,Yes,Married,4,1
1085,HR,Female,47,High School,Manager,11774,28,2,5,3,4,85,5,12,Yes,Yes,Divorced,9,2
1086,HR,other,56,Bachelor's Degree,Team Lead,7742,4,8,3,1,3,67,14,36,Yes,No,Widowed,2,1
1087,HR,Male,23,Master's Degree,Intern,1326,0,0,5,5,3,0,0,3,Yes,No,Single,1,0
1088,HR,Non-binary,56,Bachelor's Degree,Analyst,3257,24,0,3,3,3,35,9,44,Yes,No,Single,2,0
1089,Sales,other,59,PhD,Executive,4539,33,14,1,1,1,56,11,7,No,No,Single,9,0
1090,Finance,Non-binary,37,Master's Degree,Manager,9433,11,14,2,1,2,77,14,39,Yes,No,Widowed,5,3
1091,Finance,other,59,Master's Degree,Analyst,4972,21,10,1,2,3,11,8,46,No,Yes,Divorced,9,0
1092,HR,Female,18,Bachelor's Degree,Intern,1139,0,0,5,1,3,0,0,1,No,Yes,Single,1,0
1093,Finance,other,44,PhD,Executive,2945,19,6,3,4,4,19,6,39,No,Yes,Single,9,0
1094,Finance,Female,43,High School,Executive,4578,28,0,2,3,2,44,5,25,Yes,Yes,Married,2,0
1095,HR,other,20,Bachelor's Degree,Intern,1291,0,0,4,4,4,0,0,31,Yes,Yes,Single,1,0
1096,Finance,Male,49,High School,Executive,3335,26,4,2,1,4,61,4,22,No,No,Married,8,1
1097,Marketing,Non-binary,22,Bachelor's Degree,Intern,1121,0,0,2,1,3,0,0,10,Yes,Yes,Single,1,0
1098,IT,Male,29,High School,Executive,4988,4,7,5,4,5,33,8,18,No,Yes,Single,1,1
1099,IT,other,43,Bachelor's Degree,Team Lead,8274,12,1,1,2,2,20,12,13,No,Yes,Married,2,3
1100,HR,other,19,Master's Degree,Intern,1010,0,0,1,1,4,0,0,8,Yes,No,Single,1,0
1101,Sales,other,47,Associate's Degree,Analyst,4160,14,13,4,4,5,8,5,9,Yes,Yes,Widowed,9,1
1102,HR,Female,59,Master's Degree,Team Lead,7608,17,3,5,4,5,73,11,15,No,No,Married,5,1
1103,Sales,Non-binary,42,High School,Analyst,3524,1,14,2,3,4,9,10,8,No,Yes,Married,1,0
1104,IT,Non-binary,46,PhD,Executive,4391,22,6,1,2,3,51,3,33,No,Yes,Divorced,1,1
1105,HR,other,59,Master's Degree,Analyst,2357,12,19,1,5,1,44,3,35,Yes,No,Married,2,2
1106,Marketing,other,22,Associate's Degree,Team Lead,7374,3,7,3,4,4,51,11,19,Yes,Yes,Single,1,1
1107,Finance,Female,22,High School,Intern,1383,0,0,2,3,3,0,0,30,Yes,Yes,Single,1,0
1108,Sales,Male,44,Master's Degree,Manager,11778,10,1,5,5,2,63,10,9,No,No,Widowed,2,3
1109,Finance,Male,44,Bachelor's Degree,Analyst,2125,11,8,1,3,3,96,5,19,Yes,Yes,Single,8,1
1110,Finance,Non-binary,59,PhD,Manager,7395,12,5,5,3,5,1,0,47,No,No,Married,5,1
1111,HR,Female,59,High School,Analyst,3743,8,0,2,2,2,48,8,46,No,No,Divorced,1,2
1112,Finance,other,44,Master's Degree,Analyst,4129,37,2,2,1,2,95,13,26,Yes,No,Widowed,4,0
1113,Marketing,Non-binary,24,High School,Intern,1450,0,0,1,2,1,0,0,1,No,No,Single,1,0
1114,Finance,Female,51,Bachelor's Degree,Executive,2251,9,4,4,5,1,16,1,3,No,No,Widowed,6,3
1115,HR,Male,34,Associate's Degree,Team Lead,8935,22,11,5,2,4,27,4,34,No,Yes,Divorced,5,2
1116,Marketing,Female,59,Master's Degree,Team Lead,6383,14,0,5,1,3,44,11,25,Yes,Yes,Widowed,9,0
1117,IT,Male,39,High School,Team Lead,8620,22,8,3,2,4,16,11,30,No,Yes,Divorced,3,1
